Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Golden Gate Bridge,"Considered one of the modern world wonders, the bridge connects San Francisco Penisula to the Marin County",37.8199406,-122.4772101,https://en.wikipedia.org/wiki/Golden_Gate_Bridge,https://s.hdnux.com/photos/01/12/66/62/19623053/3/1200x0.jpg
Grand Canyon,A scenic beauty located along the Colorado River known for its rock formations,36.209452,-114.0152435,https://en.wikipedia.org/wiki/Grand_Canyon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg/1280px-Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg
Victoria Peak,One of the most beautiful night view in the world and an icon of Hong Kong,22.27608148,114.1451886,https://travel.usnews.com/Hong_Kong_China/Things_To_Do/Victoria_Peak_62529/,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Hong_Kong_Harbour_Night_2019-06-11.jpg/800px-Hong_Kong_Harbour_Night_2019-06-11.jpg
